case_number,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer
2019-00084162,1446 CHALKSTONE AVE,2019-08-24T03:41:43.0,8,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,SRomano
2019-00084157,100 GASPEE ST,2019-08-24T03:25:25.0,8,2019,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,ADaCruz
2019-00084139,1137 BROAD ST,2019-08-24T02:26:00.0,8,2019,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,3,MClary
2019-00084142,46 GESLER ST,2019-08-24T02:23:00.0,8,2019,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,LTaveras
2019-00084127,1095 EDDY ST,2019-08-24T02:02:00.0,8,2019,Traffic Violation,31-3-32,Driving with Expired Registration,1,NManfredi
2019-00084126,60 HARTFORD AVE,2019-08-24T02:02:00.0,8,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,3,MPlace
2019-00084126,60 HARTFORD AVE,2019-08-24T02:02:00.0,8,2019,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,MPlace
2019-00084126,60 HARTFORD AVE,2019-08-24T02:02:00.0,8,2019,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,MPlace
2019-00084127,1095 EDDY ST,2019-08-24T02:02:00.0,8,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,NManfredi
2019-00084126,60 HARTFORD AVE,2019-08-24T02:02:00.0,8,2019,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,3,MPlace
2019-00084126,60 HARTFORD AVE,2019-08-24T02:02:00.0,8,2019,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,4,MPlace
2019-00084108,270 AMHERST ST ,2019-08-24T01:07:00.0,8,2019,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ASantos
2019-00084081,MANTON AVE & ANDERSON ST,2019-08-24T00:12:00.0,8,2019,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,CCabral
2019-00084067,200 CHAD BROWN ST,2019-08-23T23:43:00.0,8,2019,Drug Offenses,21-28-4.01-C2-(iii),POSSESSION OF MARIJUANA 1OZ OR LESS OVER 18 YEARS OF AGE,1,MTroia
2019-00084067,200 CHAD BROWN ST,2019-08-23T23:43:00.0,8,2019,Traffic Violation,31-22-22(f)(n),No Seat Belt - Passenger,1,MTroia
2019-00084067,200 CHAD BROWN ST,2019-08-23T23:43:00.0,8,2019,Traffic Violation,31-24-4,"Head Lamps on Vehicles, Other Than Cycles",1,MTroia
2019-00084067,200 CHAD BROWN ST,2019-08-23T23:43:00.0,8,2019,Traffic Violation,31-22-22(g),No seat belt - Operator,1,MTroia
2019-00084066,15 DETROIT AVE,2019-08-23T23:34:00.0,8,2019,RI Statute Violation,11-35-14,REFUSE/RELINQUISH TELEPHONE - W/O DMG,1,ASubramaniam
2019-00084066,15 DETROIT AVE,2019-08-23T23:34:00.0,8,2019,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,ASubramaniam
2019-00084056,BROAD ST & COMSTOCK AVE,2019-08-23T23:15:00.0,8,2019,Drug Offenses,21-28-4.01-C2-(iii),POSSESSION OF MARIJUANA 1OZ OR LESS OVER 18 YEARS OF AGE,1,CVingi
2019-00084056,BROAD ST & COMSTOCK AVE,2019-08-23T23:15:00.0,8,2019,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,CVingi
2019-00084056,BROAD ST & COMSTOCK AVE,2019-08-23T23:15:00.0,8,2019,DUI,31-27-2.1,Chemical Test Refusal,1,CVingi
